hhid,choice,PPkStk,PBBStk,PFlStk,PHseStk,PGenStk,PImpStk,PSSTub,PPkTub,PFlTub,PHseTub
2111385,8,0.5,0.58,0.99,0.19,0.33,0.69,0.85,1.07,1.19,0.59
2111385,1,0.5,0.58,0.99,0.19,0.33,0.69,0.85,1.07,1.19,0.59
2111385,4,0.58,0.67,1.08,0.25,0.33,0.72,0.85,1.07,1.19,0.59
2111385,2,0.58,0.25,0.99,0.27,0.33,0.92,0.85,1.07,1.19,0.59
2111385,1,0.29,0.5,0.99,0.3,0.33,0.72,0.85,1.07,1.19,0.59
2111385,1,0.58,0.58,0.99,0.29,0.34,0.69,0.79,1.07,1.19,0.56
2111427,7,0.63,0.67,0.99,0.57,0.49,0.78,0.88,1.08,1.17,0.5
2111427,7,0.67,0.67,1.08,0.57,0.49,0.83,0.85,0.98,1.17,0.59
2111427,9,0.63,0.66,0.99,0.57,0.36,0.93,0.85,1.09,1.19,0.69
2111427,3,0.58,0.45,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2111492,9,0.63,0.67,1.09,0.57,0.45,0.93,0.85,0.98,1.17,0.59
2111492,9,0.66,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.33
2111492,1,0.29,0.5,0.99,0.57,0.36,0.69,0.79,1.09,1.19,0.59
2111492,3,0.58,0.58,0.99,0.29,0.33,0.72,0.85,1.07,1.19,0.59
2111492,9,0.19,0.58,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
2111492,9,0.39,0.58,0.99,0.29,0.33,0.69,0.79,1.08,1.19,0.56
2111526,7,0.29,0.5,0.99,0.57,0.36,0.69,0.79,1.09,1.19,0.59
2111526,7,0.62,0.61,1.09,0.57,0.34,1.07,0.85,1.09,1.19,0.59
2111526,7,0.62,0.61,0.99,0.57,0.36,0.75,0.85,1.09,1.19,0.58
2111526,6,0.25,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2111526,7,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2111526,7,0.58,0.25,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2111526,7,0.29,0.5,0.99,0.29,0.33,0.72,0.85,1.07,1.19,0.59
2111526,7,0.58,0.25,0.99,0.29,0.33,0.72,0.5,1.07,1.19,0.59
2111526,7,0.39,0.58,0.99,0.29,0.33,0.69,0.63,1.09,1.19,0.56
2111526,7,0.39,0.58,0.99,0.29,0.33,0.69,0.63,1.09,1.19,0.56
2111526,6,0.39,0.58,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
2111526,7,0.58,0.19,0.99,0.29,0.34,0.69,0.63,1.07,1.19,0.56
2111583,1,0.5,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2111583,1,0.58,0.58,0.99,0.29,0.34,0.72,0.85,1.07,1.2,0.59
2111583,1,0.39,0.55,0.99,0.29,0.34,0.69,0.79,1.09,1.19,0.56
2111609,1,0.63,0.67,1.09,0.57,0.45,0.93,0.85,0.98,1.17,0.59
2111609,4,0.66,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.33
2111609,4,0.63,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
2111609,2,0.5,0.39,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2111609,1,0.39,0.58,0.99,0.29,0.33,0.69,0.79,1.1,1.19,0.56
2111609,2,0.58,0.19,0.99,0.29,0.34,0.69,0.79,1.07,1.19,0.56
2111765,1,0.67,0.67,1.08,0.57,0.49,0.83,0.85,0.98,1.17,0.49
2111765,1,0.67,0.67,1.13,0.57,0.49,0.83,0.85,0.98,1.21,0.76
2111765,1,0.19,0.5,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
2111765,1,0.5,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.33
2111765,1,0.5,0.59,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.33
2111765,2,0.39,0.19,0.99,0.29,0.34,0.69,0.79,1.07,1.19,0.56
2111765,7,0.39,0.19,0.99,0.29,0.34,0.69,0.56,1.07,1.19,0.56
2111872,9,0.29,0.5,0.99,0.29,0.33,0.69,0.56,1.09,1.19,0.56
2111922,1,0.62,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
2111922,1,0.62,0.5,1.13,0.57,0.36,0.93,0.85,1.16,1.19,0.59
2111922,1,0.62,0.5,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
2111922,1,0.62,0.29,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
2111922,1,0.62,0.5,1.09,0.57,0.33,0.93,0.85,1.09,1.19,0.59
2111922,1,0.62,0.61,0.99,0.57,0.36,0.75,0.85,1.09,1.19,0.61
2111922,1,0.62,0.61,0.99,0.57,0.36,0.75,0.85,1.09,1.19,0.56
2111922,1,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
2111922,1,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
2111922,1,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2111922,1,0.62,0.61,0.99,0.45,0.34,0.75,0.85,1.09,1.19,0.59
2111922,1,0.58,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2111922,1,0.5,0.39,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2111922,1,0.5,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2111922,1,0.58,0.58,0.99,0.29,0.33,0.72,0.85,1.07,1.19,0.59
2111922,1,0.58,0.58,0.99,0.29,0.33,0.69,0.79,1.1,1.19,0.56
2111922,1,0.39,0.51,0.99,0.29,0.34,0.69,0.79,1.09,1.19,0.56
2111922,1,0.19,0.58,0.99,0.29,0.34,0.69,0.79,1.09,1.19,0.56
2111948,2,0.63,0.59,0.99,0.57,0.49,0.79,0.85,0.98,1.17,0.59
2111948,1,0.63,0.59,1.08,0.57,0.45,0.93,0.85,0.98,1.17,0.59
2111948,1,0.19,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.33
2111948,1,0.29,0.59,1.08,0.57,0.34,0.93,0.85,1.09,1.19,0.33
2111948,1,0.29,0.59,1.08,0.57,0.34,0.93,0.85,1.09,1.19,0.33
2111948,2,0.63,0.67,1.08,0.57,0.36,0.93,0.85,1.09,1.19,0.59
2111948,2,0.62,0.29,1.09,0.58,0.36,1.38,0.85,1.09,1.19,0.7
2111948,2,0.62,0.29,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
2111948,1,0.29,0.5,0.99,0.57,0.36,0.69,0.79,1.09,1.19,0.59
2111948,1,0.62,0.61,0.99,0.57,0.36,0.75,0.85,1.09,1.19,0.59
2111948,2,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2111948,1,0.58,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2111948,1,0.25,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2111948,1,0.58,0.65,0.99,0.25,0.34,0.72,0.85,1.07,1.19,0.59
2111948,2,0.58,0.19,0.99,0.29,0.34,0.69,0.79,1.07,1.19,0.56
2112193,1,0.63,0.67,0.99,0.57,0.36,1.03,0.85,1.09,1.19,0.37
2112193,8,0.62,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
2112193,2,0.62,0.29,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
2112193,5,0.62,0.61,0.99,0.57,0.36,0.75,0.85,1.09,1.19,0.59
2112193,1,0.62,0.61,0.99,0.57,0.36,0.75,0.85,1.09,1.19,0.59
2112193,7,0.62,0.61,0.99,0.49,0.33,0.75,0.5,1.09,1.19,0.59
2112193,2,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2112193,1,0.25,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2112193,1,0.25,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2112193,4,0.5,0.58,0.99,0.19,0.33,0.72,0.85,1.07,1.19,0.59
2112193,1,0.29,0.51,0.99,0.29,0.33,0.72,0.85,1.07,1.19,0.59
2112193,1,0.29,0.5,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
2112193,1,0.29,0.5,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
2112193,1,0.19,0.47,0.99,0.29,0.34,0.69,0.79,1.07,1.19,0.56
2112235,1,0.5,0.5,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.33
2112235,1,0.66,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.33
2112235,1,0.29,0.67,1.09,0.57,0.34,0.93,0.85,1.09,1.19,0.33
2112235,1,0.62,0.5,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
2112235,1,0.29,0.5,0.99,0.57,0.36,0.69,0.79,1.09,1.19,0.59
2112235,1,0.62,0.61,0.99,0.57,0.36,0.75,0.85,1.09,1.19,0.56
2112235,1,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2112235,1,0.62,0.39,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2112235,1,0.5,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2112235,1,0.58,0.25,0.99,0.25,0.33,0.72,0.85,1.07,1.19,0.59
2112235,1,0.58,0.58,0.99,0.34,0.33,0.72,0.85,1.07,1.19,0.59
2112235,1,0.29,0.5,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
2112235,1,0.39,0.51,0.99,0.29,0.34,0.69,0.79,1.09,1.19,0.56
2112235,1,0.39,0.5,0.99,0.29,0.33,0.69,0.79,1.07,1.19,0.56
2112243,5,0.63,0.67,0.99,0.57,0.49,0.93,0.85,0.98,1.17,0.59
2112243,4,0.63,0.67,1.08,0.57,0.45,0.93,0.85,0.98,1.17,0.59
2112243,2,0.66,0.5,1.09,0.57,0.33,0.93,0.85,1.09,1.19,0.59
2112243,1,0.29,0.67,1.08,0.57,0.35,0.93,0.85,1.09,1.19,0.33
2112243,4,0.62,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
2112243,1,0.29,0.5,0.99,0.57,0.35,0.69,0.79,1.09,1.19,0.67
2112243,5,0.62,0.5,0.99,0.31,0.36,0.75,0.85,1.1,1.19,0.59
2112243,2,0.58,0.25,0.99,0.29,0.34,0.72,0.85,1.07,1.19,0.59
2112730,1,0.67,0.67,1.08,0.57,0.49,0.84,0.85,0.98,1.17,0.59
2112730,8,0.67,0.58,1.08,0.57,0.49,2.3,0.85,0.98,1.17,0.59
2112730,1,0.67,0.58,1.08,0.57,0.49,2.3,0.85,0.98,1.17,0.59
2112730,1,0.63,0.67,1.09,0.57,0.45,0.93,0.85,0.98,1.17,0.59
2112730,1,0.66,0.67,1.09,0.57,0.33,0.93,0.85,1.09,1.19,0.59
2112730,1,0.66,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.33
2112730,1,0.63,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.34
2112730,1,0.63,0.7,0.99,0.57,0.36,0.93,0.85,1.09,1.19,0.89
2112730,1,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
2112730,1,0.62,0.61,0.99,0.45,0.34,0.75,0.85,1.09,1.19,0.59
2112730,1,0.29,0.5,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
2112847,4,0.63,0.59,0.99,0.57,0.36,0.88,0.85,1.09,1.19,0.59
2112847,4,0.62,0.61,0.99,0.45,0.34,0.75,0.85,1.09,1.19,0.59
2112847,7,0.58,0.25,0.99,0.29,0.33,0.72,0.85,1.07,1.19,0.59
2113019,7,0.66,0.67,1.08,0.57,0.45,0.93,0.7,1.09,1.17,0.59
2113019,10,0.58,0.25,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2113019,7,0.19,0.5,0.99,0.29,0.33,0.69,0.56,1.07,1.19,0.56
2113043,1,0.62,0.61,0.99,0.57,0.36,0.75,0.85,1.09,1.19,0.61
2113043,1,0.62,0.61,0.99,0.57,0.36,0.75,0.85,1.09,1.19,0.56
2113043,1,0.62,0.61,0.99,0.57,0.36,0.75,0.85,1.09,1.19,0.59
2113043,1,0.5,0.61,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2113043,1,0.58,0.58,0.99,0.29,0.33,0.72,0.85,1.07,1.19,0.59
2113043,1,0.58,0.63,0.99,0.35,0.33,0.72,0.85,1.07,1.19,0.59
2113043,1,0.19,0.58,0.99,0.29,0.34,0.69,0.79,1.11,1.19,0.56
2113043,1,0.29,0.5,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
2113175,3,0.63,0.67,1.09,0.57,0.33,0.93,0.7,0.98,1.17,0.59
2113175,3,0.19,0.5,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
2113175,3,0.5,0.5,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.33
2113175,3,0.63,0.67,1.09,0.57,0.36,0.91,0.85,1.09,1.19,0.55
2113175,3,0.62,0.53,1.09,0.57,0.33,0.93,0.85,1.09,1.19,0.59
2113175,3,0.62,0.61,0.99,0.49,0.33,0.75,0.5,1.09,1.19,0.59
2113175,3,0.62,0.39,0.99,0.45,0.33,0.75,0.65,1.09,1.19,0.59
2113175,3,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2113266,5,0.66,0.67,1.09,0.57,0.33,0.93,0.85,1.09,1.19,0.59
2113266,5,0.66,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.33
2113266,5,0.66,0.67,1.09,0.57,0.33,0.93,0.85,1.09,1.19,0.33
2113266,1,0.29,0.67,1.09,0.57,0.34,0.93,0.85,1.09,1.19,0.33
2113266,5,0.63,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.34
2113266,5,0.63,0.7,0.99,0.57,0.36,0.93,0.85,1.09,1.19,0.89
2113266,1,0.62,0.5,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
2113266,2,0.62,0.5,1.09,0.57,0.33,1.02,0.85,1.09,1.19,0.59
2113266,4,0.62,0.61,1.09,0.57,0.36,0.69,0.85,1.09,1.19,0.59
2113266,5,0.62,0.61,0.99,0.57,0.36,0.75,0.85,1.09,1.19,0.59
2113266,5,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
2113266,5,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2113266,5,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2113266,4,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2113266,5,0.25,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2113266,4,0.58,0.5,0.99,0.33,0.34,0.72,0.85,1.07,1.19,0.59
2113266,4,0.58,0.25,0.99,0.29,0.34,0.72,0.85,1.07,1.19,0.59
2113266,4,0.19,0.58,0.99,0.29,0.34,0.69,0.79,1.09,1.19,0.56
2113340,8,0.63,0.67,0.99,0.57,0.39,0.93,0.85,0.98,1.17,0.59
2113340,3,0.63,0.67,0.99,0.57,0.39,0.93,0.85,0.98,1.17,0.59
2113340,2,0.66,0.5,1.09,0.57,0.33,0.93,0.85,1.09,1.19,0.59
2113340,4,0.62,0.61,1.09,0.29,0.36,0.75,0.85,1.09,1.19,0.59
2113340,1,0.39,0.5,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
2113464,2,0.62,0.5,1.09,0.57,0.33,1.02,0.85,1.09,1.19,0.59
2113464,4,0.62,0.61,1.09,0.29,0.36,0.75,0.85,1.09,1.19,0.59
2113464,2,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
2113464,2,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2113464,2,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2113464,4,0.62,0.39,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2113464,2,0.62,0.39,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2113464,2,0.5,0.39,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2113464,2,0.58,0.25,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2113464,1,0.29,0.5,0.99,0.33,0.33,0.72,0.85,1.07,1.19,0.59
2113464,2,0.29,0.5,0.99,0.33,0.33,0.72,0.85,1.07,1.19,0.59
2113464,9,0.58,0.25,0.99,0.29,0.34,0.72,0.85,1.07,1.19,0.59
2113464,2,0.58,0.25,0.99,0.29,0.34,0.72,0.85,1.07,1.19,0.59
2113464,1,0.29,0.5,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
2113472,3,0.63,0.67,0.99,0.57,0.39,0.93,0.86,0.98,1.17,1.27
2113472,1,0.29,0.67,1.09,0.57,0.35,0.93,0.85,1.09,1.19,0.33
2113472,1,0.62,0.47,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
2113472,1,0.58,0.58,0.99,0.33,0.34,0.72,0.85,1.07,1.19,0.59
2113472,1,0.29,0.45,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
2113597,1,0.62,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
2113597,1,0.62,0.61,0.99,0.57,0.36,0.75,0.85,1.09,1.19,0.59
2113597,2,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
2113597,2,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2113597,1,0.5,0.58,0.99,0.45,0.33,0.75,0.85,1.07,1.19,0.59
2113597,1,0.5,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2113597,8,0.58,0.45,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2113597,2,0.58,0.45,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2113597,1,0.29,0.5,0.99,0.33,0.25,0.72,0.85,1.07,1.19,0.59
2113597,2,0.58,0.25,0.99,0.29,0.33,0.72,0.85,1.07,1.19,0.59
2113597,1,0.19,0.58,0.99,0.29,0.33,0.69,0.79,1.12,1.19,0.56
2113639,2,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2113639,1,0.29,0.51,0.99,0.33,0.33,0.72,0.85,1.07,1.21,0.59
2113639,1,0.29,0.5,0.99,0.29,0.34,0.69,0.79,1.09,1.19,0.56
2113639,1,0.19,0.58,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
2113696,9,0.63,0.67,1.09,0.57,0.45,0.92,0.85,0.98,1.17,0.59
2113696,9,0.66,0.5,1.09,0.57,0.33,0.93,0.85,1.09,1.19,0.59
2113696,9,0.5,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.33
2113696,9,0.63,0.67,1.09,0.57,0.36,0.91,0.85,1.09,1.19,0.55
2113696,9,0.62,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
2113696,9,0.62,0.29,1.09,0.57,0.36,0.94,0.85,1.09,1.19,0.59
2113696,9,0.62,0.61,0.99,0.57,0.36,0.75,0.85,1.09,1.19,0.59
2113696,9,0.62,0.39,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2113696,9,0.25,0.39,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2113696,9,0.5,0.39,0.99,0.45,0.33,0.72,0.65,1.07,1.19,0.59
2113696,1,0.5,0.39,0.99,0.19,0.33,0.72,0.85,1.07,1.19,0.59
2113696,9,0.58,0.58,0.99,0.25,0.33,0.72,0.85,1.07,1.19,0.59
2113696,9,0.58,0.5,0.99,0.33,0.34,0.72,0.65,1.07,1.19,0.59
2113696,9,0.58,0.58,0.99,0.33,0.34,0.72,0.85,1.07,1.19,0.59
2113696,9,0.19,0.58,0.99,0.29,0.34,0.69,0.79,1.09,1.19,0.56
2113779,2,0.62,0.29,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
2113779,2,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2113779,1,0.25,0.61,0.99,0.45,0.33,0.74,0.85,1.09,1.19,0.59
2113779,2,0.58,0.19,0.99,0.29,0.33,0.69,0.79,1.07,1.19,0.56
2113910,7,0.63,0.67,1.09,0.57,0.39,0.93,0.6,0.98,1.17,0.59
2113910,1,0.19,0.67,1.08,0.57,0.36,0.93,0.85,1.09,1.19,0.59
2113951,1,0.67,0.67,1.08,0.57,0.49,0.9,0.85,0.98,1.17,0.6
2113951,1,0.63,0.67,0.99,0.57,0.39,0.93,0.85,0.98,1.17,0.59
2113951,1,0.63,0.67,1.08,0.57,0.33,0.75,0.6,0.98,1.17,0.59
2113951,6,0.63,0.67,1.08,0.57,0.45,0.93,0.85,0.98,1.17,0.59
2113951,3,0.63,0.67,1.08,0.57,0.45,0.93,0.7,0.98,1.17,0.59
2113951,3,0.5,0.5,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.33
2113951,1,0.66,0.67,1.08,0.57,0.36,0.93,0.85,1.09,1.19,0.33
2113951,1,0.66,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.33
2113951,1,0.29,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.33
2113951,1,0.63,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.33
2113951,1,0.62,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
2113951,2,0.62,0.29,1.09,0.57,0.36,0.94,0.85,1.09,1.19,0.59
2113951,2,0.5,0.5,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2113951,1,0.29,0.51,0.99,0.33,0.33,0.72,0.85,1.07,1.21,0.59
2113951,1,0.58,0.58,0.99,0.33,0.33,0.72,0.85,1.07,1.19,0.55
2113951,1,0.19,0.58,0.99,0.29,0.34,0.69,0.79,1.09,1.19,0.56
2114017,9,0.63,0.67,1.09,0.57,0.33,0.75,0.85,0.98,1.17,0.59
2114017,3,0.63,0.59,1.08,0.57,0.45,0.93,0.85,0.98,1.17,0.59
2114017,9,0.63,0.59,1.08,0.57,0.45,0.93,0.85,0.98,1.17,0.59
2114017,9,0.62,0.61,0.99,0.45,0.34,0.75,0.85,1.09,1.19,0.59
2114017,9,0.39,0.55,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
2114025,7,0.58,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2114025,1,0.58,0.58,0.99,0.29,0.33,0.69,0.79,1.07,1.19,0.57
2114041,1,0.5,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.33
2114041,1,0.63,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
2114041,4,0.62,0.61,1.09,0.29,0.36,0.75,0.85,1.09,1.19,0.58
2114041,4,0.62,0.39,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2114041,1,0.5,0.39,0.99,0.45,0.33,0.72,0.65,1.07,1.19,0.59
2114041,1,0.58,0.39,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2114041,9,0.58,0.25,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2114041,1,0.29,0.51,0.99,0.29,0.34,0.69,0.79,1.09,1.19,0.56
2114041,1,0.39,0.58,0.99,0.29,0.34,0.69,0.79,1.09,1.19,0.56
2114041,1,0.39,0.58,0.99,0.29,0.34,0.69,0.79,1.09,1.19,0.56
2114215,1,0.66,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.33
2114215,1,0.29,0.67,1.09,0.57,0.33,0.93,0.85,1.09,1.19,0.33
2114215,1,0.63,0.66,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.59
2114215,1,0.63,0.66,0.99,0.57,0.36,0.89,0.85,1.09,1.19,0.59
2114215,1,0.29,0.28,0.95,0.58,0.36,0.63,0.79,1.09,1.19,0.59
2114215,10,0.62,0.61,1.09,0.29,0.33,0.93,0.85,1.09,1.19,0.59
2114215,10,0.62,0.61,0.99,0.57,0.36,0.75,0.85,1.09,1.19,0.59
2114215,1,0.62,0.61,0.99,0.57,0.36,0.75,0.85,1.09,1.19,0.59
2114215,4,0.62,0.61,0.99,0.45,0.34,0.75,0.85,1.09,1.19,0.59
2114215,1,0.25,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2114215,10,0.58,0.58,0.99,0.25,0.25,0.72,0.85,1.07,1.19,0.59
2114215,10,0.58,0.58,0.99,0.33,0.25,0.72,0.85,1.07,1.19,0.59
2114215,5,0.58,0.58,0.99,0.29,0.33,0.69,0.79,1.07,1.19,0.56
2114215,1,0.19,0.58,0.99,0.29,0.33,0.69,0.79,1.12,1.19,0.56
2114215,7,0.19,0.46,0.99,0.29,0.33,0.69,0.63,1.07,1.19,0.56
2114231,9,0.63,0.68,1.08,0.57,0.49,0.79,0.85,0.98,1.17,0.59
2114231,9,0.63,0.59,1.08,0.57,0.45,0.93,0.85,0.98,1.17,0.59
2114231,9,0.66,0.59,1.08,0.57,0.33,1.01,0.85,1.14,1.19,0.59
2114231,9,0.63,0.59,1.08,0.57,0.36,0.93,0.85,1.09,1.19,0.47
2114231,9,0.63,0.59,0.99,0.57,0.36,0.88,0.85,1.09,1.19,0.59
2114231,9,0.62,0.29,1.09,0.58,0.36,1.38,0.85,1.09,1.19,0.7
2114231,9,0.62,0.61,0.99,0.57,0.36,0.75,0.85,1.09,1.19,0.59
2114231,9,0.5,0.58,0.99,0.19,0.34,0.72,0.65,1.07,1.19,0.59
2114231,9,0.5,0.58,0.99,0.45,0.33,0.72,0.65,1.07,1.19,0.59
2114231,9,0.39,0.58,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
2114231,9,0.19,0.58,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
2114462,1,0.29,0.5,0.99,0.57,0.36,0.69,0.79,1.09,1.19,0.59
2114462,1,0.62,0.5,0.99,0.57,0.33,0.75,0.85,1.09,1.19,0.59
2114462,2,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
2114462,1,0.62,0.61,0.99,0.49,0.33,0.75,0.85,1.09,1.19,0.59
2114462,3,0.62,0.61,0.99,0.49,0.33,0.75,0.65,1.09,1.19,0.59
2114462,1,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2114462,4,0.62,0.61,0.99,0.45,0.33,0.75,0.85,1.09,1.19,0.59
2114462,3,0.58,0.61,0.99,0.45,0.34,0.75,0.65,1.09,1.19,0.59
2114462,1,0.5,0.58,0.99,0.45,0.33,0.72,0.85,1.07,1.19,0.59
2114462,1,0.19,0.58,0.99,0.29,0.34,0.69,0.79,1.11,1.19,0.56
2114462,1,0.39,0.58,0.99,0.29,0.33,0.69,0.79,1.1,1.19,0.56
2114462,1,0.29,0.5,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
2114512,2,0.66,0.5,1.09,0.57,0.33,0.93,0.85,1.09,1.19,0.59
2114512,10,0.66,0.67,1.09,0.57,0.36,0.93,0.85,1.09,1.19,0.33
2114694,1,0.29,0.51,0.99,0.33,0.33,0.72,0.85,1.07,1.21,0.59
2114744,1,0.29,0.5,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
2114744,4,0.29,0.5,0.99,0.29,0.33,0.69,0.79,1.09,1.19,0.56
2114819,9,0.5,0.58,0.99,0.45,0.34,0.72,0.66,1.07,1.19,0.59
